#Question	WH	WH-Bigram	WH-POS	WH-NBOR-POS	Root-POS	Class
Where is the Kentucky Horse Park located ?	Where	Where is	WRB	VBZ	VBN	LOC
What is a fear of parasites ?	What	What is	WP	VBZ	VBZ	ENTY
In what Olympic Games did Nadia Comaneci become popular ?	what	what Olympic	WP	NNP	IN	ENTY
Who does data collection in tourism ?	Who	Who does	WP	VBZ	VBZ	HUM
What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?	What	What was	WP	VBD	VBD	HUM
What is the leading pecan and peanut growing state ?	What	What is	WP	VBZ	VBZ	LOC
What does a nihilist believe in ?	What	What does	WP	VBZ	VB	DESC
What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?	What	What did	WP	VBD	VB	DESC
"In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?"	what	what sport	WDT	NN	VBP	ENTY
Who were the four famous founders of United Artists ?	Who	Who were	WP	VBD	VBD	HUM
What 2 statues did France give to other countries ?	What	What 2	WP	CD	VB	ENTY
What are amphibians ?	What	What are	WP	VBP	VBP	DESC
How many sperm cells are in an average ejaculation ?	How	How many	WRB	JJ	VBP	NUM
Name the disposable razor that `` costs about 19 cents . ''	that	that ``	WDT	``	VB	ENTY
How far do you have to run if you hit a home run ?	How	How far	WRB	RB	VB	NUM
Who was the only U.S. President to wear a Nazi uniform ?	Who	Who was	WP	VBD	VBD	HUM
Woodrow Wilson served as president of what university ?	what	what university	WP	NN	VBD	HUM
Where are the tropical rain forest distributions ?	Where	Where are	WRB	VBP	VBP	LOC
What 's the nickname of oddsmaker Jimmy Snyder ?	What	What 's	WP	VBZ	VBZ	HUM
What is the fear of being loved ?	What	What is	WP	VBZ	VBZ	ENTY
What was the number of people that Randy Steven Craft was convicted of killing ?	What	What was	WP	VBD	VBD	NUM
What was Queen Victoria 's title regarding India ?	What	What was	WP	VBD	VBD	HUM
How is a hydrogen bomb different from a nuclear bomb ?	How	How is	WRB	VBZ	VBZ	DESC
How far can a man travel in outer space ?	How	How far	WRB	RB	NN	NUM
Where was Lincoln assassinated ?	Where	Where was	WRB	VBD	VBD	LOC
What type of food makes you fat ?	What	What type	WDT	NN	VBZ	ENTY
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?	that	What is which attacks that surrounds	WDT	VBZ	VBZ	ENTY
What was the U.S. highway death toll in 1969 ?	What	What was	WP	VBD	VBD	NUM
"What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?"	What	What kind	WDT	NN	VBP	ENTY
What are the shortest and the longest songs ever produced ?	What	What are	WP	VBP	VBP	ENTY
What letter is to the right of K on a typewriter keyboard ?	What	What letter	WDT	NN	VBZ	ENTY
"What is the origin and the meaning of the name , `` Hajo ? ''"	What	What is	WP	VBZ	VBZ	DESC
What is the plural of gulf ?	What	What is	WP	VBZ	VBZ	ENTY
Whose autobiography is titled Yes I Can ?					VBN	HUM
What year did the United States pass the Copyright law ?	What	What year	WDT	NN	VBP	NUM
What percentage of Americans own their homes ?	What	What percentage	WDT	NN	VBP	NUM
What 's the first day of the week ?	What	What 's	WP	VBZ	VBZ	NUM
What city was President William McKinley shot in ?	What	What city	WDT	NN	VBD	LOC
What city has the world 's longest subway system ?	What	What city	WDT	NN	VBZ	LOC
"Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?"	Who	Who claimed	WP	VBD	VBD	HUM
What is Bombay duck ?	What	What is	WP	VBZ	VBZ	DESC
How many degrees cooler is the inside of a cucumber than the air outside ?	How	How many	WRB	JJ	VBZ	NUM
What double talking `` professor '' holds a doctorate in Nothing ?	What	What double	WP	JJ	VBZ	HUM
What are the five most expensive cities in the world ?	What	What are	WP	VBP	VBP	LOC
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?	What	What 19th	WDT	JJ	VBD	HUM
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?	How	How many	WRB	JJ	VBZ	NUM
What is a virtual IP address ?	What	What is	WP	VBZ	VBZ	DESC
What was the name of the cook on Rawhide ?	What	What was	WP	VBD	VBD	HUM
What county is Chicago in ?	What	What county	WDT	NN	VBZ	LOC
What is the wingspan of a condor ?	What	What is	WP	VBZ	VBZ	NUM
What facial feature typically contains about 55 hairs ?	What	What facial	WDT	JJ	VBZ	DESC
"Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage ."	Who	Who was	WP	VBD	VBN	HUM
How can I transport files from one computer to another ?	How	How can	WRB	MD	VB	DESC
What 's the literary term for a play on words ?	What	What 's	WP	VBZ	VBZ	ENTY
What color were their horses ?	What	What color	WDT	NN	VBD	ENTY
What does an average daycare provider get paid in New England ?	What	What does	WP	VBZ	VBN	NUM
What author landed a 468-pound marlin without harness in the early 193 's ?	What	What author	WDT	NN	VBD	HUM
How many Americans fought for the British in the American Revolution ?	How	How many	WRB	JJ	VBD	NUM
What kind of education do I need to become a flight attendant ?	What	What kind	WDT	NN	VB	ENTY
What are the two languages of Malta ?	What	What are	WP	VBP	VBP	ENTY
How many oceans are there and name them ?	How	How many	WRB	JJ	VBP	NUM
What happened during the Blackhawk Indian war of 1832 ?	What	What happened	WP	VBD	VBD	DESC
How many pairs of legs does a lobster have ?	How	How many	WRB	JJ	VB	NUM
What does the Latin ante mortem mean ?	What	What does	WP	VBZ	NN	DESC
What does the name Shawn mean ?	What	What does	WP	VBZ	VB	DESC
Where is the Danube ?	Where	Where is	WRB	VBZ	VBZ	LOC
"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?"	What	What lawyer	WDT	NN	VBD	HUM
What do you call a group of geese ?	What	What do	WP	VBP	VB	ENTY
"Who delivered his last newscast on March 6 , 1981 ?"	Who	Who delivered	WP	VBD	VBD	HUM
"How many times has `` Louie , Louie '' been recorded ?"	How	How many	WRB	JJ	VBN	NUM
How is Answers.com different from KnowPost.com ?	How	How is	WRB	VBZ	VBZ	DESC
What is the longest place name in the U.S. ?	What	What is	WP	VBZ	VBZ	LOC
What percent liked Thatcher after she had been in power for a decade ?	What	What percent	WDT	NN	VBD	NUM
"Where does Buzz Aldrin want to build a permanent , manned space station ?"	Where	Where does	WRB	VBZ	VBP	LOC
What was Mel Gibson 's first movie ?	What	What was	WP	VBD	VBD	ENTY
Why was the L.A. office of Shea and Gould closed ?	Why	Why was	WRB	VBD	VBD	DESC
How do I start a bank ?	How	How do	WRB	VBP	VB	DESC
How do Ouija Boards work ?	How	How do	WRB	VBP	VB	DESC
What horse did Zorro ride ?	What	What horse	WDT	NN	VB	ENTY
How do you get a broken cork out of a bottle ?	How	How do	WRB	VBP	VB	DESC
Where can I find correct tabs for Third Eye Blind songs ?	Where	Where can	WRB	MD	VB	LOC
How do you determine heating requirements for your home ?	How	How do	WRB	VBP	VB	DESC
What former major-league left-handed baseball pitcher was known as `` Space Man '' ?	What	What former	WDT	JJ	VBN	HUM
"Which hair care product told us `` hate that gray , wash it away '' ?"	Which	Which hair	WDT	NN	VBD	ENTY
Why did the chicken cross the road ?	Why	Why did	WRB	VBD	VB	DESC
What was Michelangelo 's last name ?	What	What was	WP	VBD	VBD	HUM
Who is Barbara Jordan ?	Who	Who is	WP	VBZ	VBZ	HUM
Who was the Democratic nominee in the American presidential election ?	Who	Who was	WP	VBD	VBD	HUM
What was Connecticut 's first constitution called ?	What	What was	WP	VBD	VBD	ENTY
What historical event happened in Dogtown in 1899 ?	What	What historical	WDT	JJ	VBD	ENTY
What is being done about the millennium bug ?	What	What is	WP	VBZ	VBN	DESC
What was the claim to fame of King Camp Gillette ?	What	What was	WP	VBD	VBD	DESC
What is the most common kind of skin cancer in the U.S. ?	What	What is	WP	VBZ	VBZ	ENTY
What is Olestra ?	What	What is	WP	VBZ	VBZ	DESC
What Asian country has a bill of rights for cows ?	What	What Asian	WP	JJ	VBZ	LOC
How many fingers are used to draw a bow ?	How	How many	WRB	JJ	VBN	NUM
What are two plants that clothes are made from ?	What	What are	WP	VBP	VBP	ENTY
When was Hurricane Hugo ?	When	When was	WRB	VBD	VBD	NUM
What is the most heavily caffeinated soft drink ?	What	What is	WP	VBZ	VBZ	ENTY
What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?	What	What President	WP	NNP	VBD	HUM
What was the price of Varian Associates ' vacuum products division ?	What	What was	WP	VBD	VBD	NUM
When was `` the Great Depression '' ?	When	When was	WRB	VBD	VBD	NUM
What language is mostly spoken in Brazil ?	What	What language	WDT	NN	VBN	ENTY
What college produced the most winning Super Bowl quarterbacks ?	What	What college	WDT	NN	VBD	HUM
How do you solve `` Rubik 's Cube '' ?	How	How do	WRB	VBP	VB	DESC
What is prepared mustard ?	What	What is	WP	VBZ	VBZ	DESC
What classical Spanish writer warned : `` All that glitters is not gold '' ?	that	What classical that glitters	WDT	NNS	VBD	HUM
What does `` antidisestablishmentarianism '' mean ?	What	What does	WP	VBZ	VB	DESC
What actor married John F. Kennedy 's sister ?	What	What actor	WDT	NN	VBD	HUM
What does a topophobic actor suffer from ?	What	What does	WP	VBZ	VB	ENTY
Who fired Maria Ybarra from her position in San Diego council ?	Who	Who fired	WP	VBD	VBD	HUM
"The italian artist , Maurizio Pellegrin , is how old ?"	how	how old	WRB	JJ	VBZ	NUM
What type of hunting are retrievers used for ?	What	What type	WDT	NN	VBP	ENTY
What is Colin Powell best known for ?	What	What is	WP	VBZ	VBZ	DESC
Who was the first black golfer to tee off in the Masters ?	Who	Who was	WP	VBD	VBD	HUM
What city is the setting for Puccini 's opera La Boheme ?	What	What city	WDT	NN	VBZ	LOC
What U.S. President showed a fondness for munching on bee pollen bars ?	What	What U.S.	WP	NNP	VBD	HUM
What is measured in curies ?	What	What is	WP	VBZ	VBN	DESC
Whose cover is that of an employee of Universal Import and Export ?					VBZ	HUM
What former president 's daughter has written a book titled Murder in the White House ?	What	What former	WDT	JJ	VBN	HUM
What fictional character is known as the `` melancholy Dane '' ?	What	What fictional	WDT	JJ	VBN	HUM
Italy is the largest producer of what ?	what	what ?	WP	.	VBZ	ENTY
What longtime game show host dropped dead while jogging in Central Park in 1984 ?	What	What longtime	WDT	JJ	VBD	HUM
"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''"	What	What is	WP	VBZ	VBZ	DESC
Who were the `` filthiest people alive ? ''	Who	Who were	WP	VBD	VBD	HUM
What infectious disease is the world 's deadliest ?	What	What infectious	WP	JJ	VBZ	ENTY
What is Spumante ?	What	What is	WP	VBZ	VBZ	DESC
In what year did Ireland elect its first woman president ?	what	what year	WDT	NN	VB	NUM
What is an isthmus ?	What	What is	WP	VBZ	VBZ	DESC
What was the name of the orca that died of a fungal infection ?	that	What was that died	WDT	VBD	VBD	ENTY
Where is Mozambique located ?	Where	Where is	WRB	VBZ	VBN	LOC
What is Mississippi 's state animal ?	What	What is	WP	VBZ	VBZ	ENTY
What 's the origin of the word ` news ' ?	What	What 's	WP	VBZ	VBZ	DESC
What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?	What	What did	WP	VBD	VBD	ENTY
How many months does a normal human pregnancy last ?	How	How many	WRB	JJ	VBZ	NUM
How do fuel injectors work ?	How	How do	WRB	VBP	NN	DESC
How can your school march in the Macy 's Thanksgiving Parade ?	How	How can	WRB	MD	NN	DESC
What is the real name of disc jockey `` Wolfman Jack '' ?	What	What is	WP	VBZ	VBZ	HUM
What Italian liner was hijacked in 1985 ?	What	What Italian	WP	JJ	VBN	ENTY
What city houses the U.S. headquarters of Procter and Gamble ?	What	What city	WDT	NN	VBZ	LOC
What soap was touted as being `` for people who like people '' ?	who	What soap who like	WP	VBP	VBN	ENTY
How much was the minimum wage in 1991 ?	How	How much	WRB	JJ	VBD	NUM
What does NAFTA stand for ?	What	What does	WP	VBZ	VB	ABBR
Who invented silly putty ?	Who	Who invented	WP	VBD	VBD	HUM
"What new middle school was built in Philadelphia , Pennsylvania last year ?"	What	What new	WDT	JJ	VBN	HUM
Who patented the first phonograph ?	Who	Who patented	WP	VBD	VBD	HUM
What are some tips for building a fire in a fireplace ?	What	What are	WP	VBP	VBP	ENTY
What do manatees eat ?	What	What do	WP	VBP	VB	ENTY
How do you say 2 in Latin ?	How	How do	WRB	VBP	VB	ENTY
What were popular songs and types of songs in the 1920s ?	What	What were	WP	VBD	VBD	ENTY
How many Vietnamese were there in the Soviet Union ?	How	How many	WRB	JJ	VBD	NUM
What is November 's birthstone ?	What	What is	WP	VBZ	VBZ	ENTY
What is a Certified Nurse Midwife ?	What	What is	WP	VBZ	VBZ	DESC
"On average , how many miles are there to the moon ?"	how	how many	WRB	JJ	VBP	NUM
Who created private detective Philip Marlowe ?	Who	Who created	WP	VBD	VBD	HUM
"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"	What	What Boris	WP	NNP	VBD	ENTY
What is the origin of the expression `` tout de suite '' ?	What	What is	WP	VBZ	VBZ	DESC
What is the longest English word ?	What	What is	WP	VBZ	VBZ	ENTY
What is the purpose of a car bra ?	What	What is	WP	VBZ	VBZ	DESC
What is D.B. Cooper known for ?	What	What is	WP	VBZ	VBN	DESC
Who is Colin Powell ?	Who	Who is	WP	VBZ	VBZ	HUM
What species is a colt ?	What	What species	WDT	NN	VBZ	ENTY
What is the full name of the PLO ?	What	What is	WP	VBZ	VBZ	ABBR
What is the smallest country in Africa ?	What	What is	WP	VBZ	VBZ	LOC
Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?	Who	Who coined	WP	VBD	VBD	HUM
What age followed the Bronze Age ?	What	What age	WP	NN	VBD	ENTY
What is her profession ?	What	What is	WP	VBZ	VBZ	HUM
What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?	that	What is who invented that has	WDT	VBZ	VBZ	HUM
What does the word LASER mean ?	What	What does	WP	VBZ	NN	ABBR
What does the name `` Anthony '' mean ?	What	What does	WP	VBZ	VB	DESC
Who was Lauren Bacall 's first husband ?	Who	Who was	WP	VBD	VBD	HUM
What is a rhomboideus minor ?	What	What is	WP	VBZ	VBZ	DESC
How many hands does Bjorn Borg use when hitting his forehand ?	when	How many when hitting	WRB	VBG	VB	NUM
How many people died on D-Day ?	How	How many	WRB	JJ	VBD	NUM
"What U.S. Congressman said : `` Keep the faith , baby '' ."	What	What U.S.	WP	NNP	VBD	HUM
Who created the character of Scrooge ?	Who	Who created	WP	VBD	VBD	HUM
What is the student population at the University of Massachusetts in Amherst ?	What	What is	WP	VBZ	VBZ	NUM
Where is Windsor Castle ?	Where	Where is	WRB	VBZ	VBZ	LOC
When did the Dow first reach ?	When	When did	WRB	VBD	NN	NUM
Why were people recruited for the Vietnam War ?	Why	Why were	WRB	VBD	VBN	DESC
What party was Winston Churchill a member of ?	What	What party	WDT	NN	VBD	HUM
What American League baseball team 's worst finish between 1926 and 1964 was fourth ?	What	What American	WP	NNP	VBD	HUM
Where can I find the names of all the 15 Pokemon ?	Where	Where can	WRB	MD	VB	LOC
What state does Martha Stewart live in ?	What	What state	WDT	NN	VB	LOC
Which killer whale died at Sea World of a fungal infection ?	Which	Which killer	WDT	NN	VBD	ENTY
What are the Benelux countries ?	What	What are	WP	VBP	VBP	LOC
Where 's the Petrified Forest ?	Where	Where 's	WRB	VBZ	VBZ	LOC
What is a language spoken by the Sioux ?	What	What is	WP	VBZ	VBZ	ENTY
Where is Tornado Alley ?	Where	Where is	WRB	VBZ	VBZ	LOC
Who was the author of `` John Brown 's Body '' ?	Who	Who was	WP	VBD	VBD	HUM
What American poet wrote : `` Good fences make good neighbors '' ?	What	What American	WDT	JJ	VBD	HUM
What state in the U.S. has the most blacks ?	What	What state	WDT	NN	VBZ	LOC
Why are electric cars less efficient in the northeast than in California ?	Why	Why are	WRB	VBP	VBP	DESC
What was the occupation of Mandy Rice-Davies ?	What	What was	WP	VBD	VBD	HUM
What is the city in which Maurizio Pellegrin lives called ?	which	What is which Maurizio	WDT	NNP	VBZ	LOC
Who painted the Sistine Chapel ?	Who	Who painted	WP	VBD	VBD	HUM
Name the various costumed personas of Dr. Henry Pym .					VB	HUM
What breed of dog was the `` Little Rascals '' dog ?	What	What breed	WP	NN	VBD	ENTY
What are the living conditions in Cuba ?	What	What are	WP	VBP	VBP	DESC
What color are school buses ?	What	What color	WDT	NN	VBP	ENTY
What is the oldest website on the Internet ?	What	What is	WP	VBZ	VBZ	LOC
"What events happened January 26 , 1978 ?"	What	What events	WDT	NNS	VBD	ENTY
What explorers followed Columbus to the Americas ?	What	What explorers	WDT	NNS	VBD	HUM
Who is actress Goldie Hawn 's current actor boyfriend ?	Who	Who is	WP	VBZ	VBZ	HUM
Who banned Peter Rose from baseball for betting on games ?	Who	Who banned	WP	VBD	VBD	HUM
What are the seven virtues ?	What	What are	WP	VBP	VBP	DESC
What other name were the `` Little Rascals '' known as ?	What	What other	WDT	JJ	VBD	ENTY
When was the San Francisco fire ?	When	When was	WRB	VBD	VBD	NUM
What is a fear of food ?	What	What is	WP	VBZ	VBZ	ENTY
"How many casinos are in Atlantic City , NJ ?"	How	How many	WRB	JJ	VBP	NUM
What year did the Vietnam War end ?	What	What year	WDT	NN	NN	NUM
What are the names of Richard Nixon 's two daughters ?	What	What are	WP	VBP	VBP	HUM
What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	What	What 's	WP	VBZ	VBZ	ENTY
What is the chromosome number of an elephant ?	What	What is	WP	VBZ	VBZ	NUM
What organization was founded by the Rev. Jerry Falwell ?	What	What organization	WDT	NN	VBN	HUM
What 's the longest river in the world ?	What	What 's	WP	VBZ	VBZ	LOC
Which soft drink does Madonna advertise for ?	Which	Which soft	WDT	JJ	VB	ENTY
What company is being bought by Yahoo and how much is the deal worth ?	how	What company how much	WRB	JJ	VBN	HUM
When was Berlin 's Brandenburg gate erected ?	When	When was	WRB	VBD	VBD	NUM
How many double-word-score spaces are there on a Scrabble Crossword Game board ?	How	How many	WRB	JJ	VBP	NUM
What year did Germany sign its nonaggression pact with the Soviet Union ?	What	What year	WDT	NN	VB	NUM
What mountain range is traversed by the highest railroad in the world ?	What	What mountain	WDT	NN	VBN	LOC
Why were the American soldiers in WWI called `` Doughboys ''	Why	Why were	WRB	VBD	VBD	DESC
Who was nicknamed The Little Corporal ?	Who	Who was	WP	VBD	VBN	HUM
How many CDs has Garth Brooks sold ?	How	How many	WRB	JJ	VBN	NUM
Name the vessel used by the Atari Force in the DC comics .					VB	ENTY
Where are the leading medical groups specializing in lung diseases ?	Where	Where are	WRB	VBP	VBP	LOC
"How can I find online spelling , and punctuation drills for my 6th grader ?"	How	How can	WRB	MD	VB	DESC
What 's the sacred river of India ?	What	What 's	WP	VBZ	VBZ	LOC
What is Stefan Edberg 's native country ?	What	What is	WP	VBZ	VBZ	LOC
What is the only gland in humans that can regenerate itself ?	that	What is that can	WDT	MD	VBZ	ENTY
How many Gutenberg Bibles are there ?	How	How many	WRB	JJ	VBP	NUM
Name the largest country in South America .					VB	LOC
What astronomical phenomenon takes place in Jan. 1999 ?	What	What astronomical	WDT	JJ	VBZ	ENTY
What information can you get me on Fairground Park in St. Louis	What	What information	WDT	NN	VB	DESC
What was American folk hero John Chapman 's nickname ?	What	What was	WP	VBD	VBD	HUM
What is the difference between a median and a mean ?	What	What is	WP	VBZ	VBZ	DESC
What was the top box office movie in April 1998 ?	What	What was	WP	VBD	VBD	ENTY
What makes thunder ?	What	What makes	WP	VBZ	VBZ	DESC
What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?	What	What author	WDT	NN	VBP	HUM
"Which is the largest clock , diameter wise , in Europe ?"	Which	Which is	WDT	VBZ	VBZ	ENTY
What plant is rum made from ?	What	What plant	WDT	NN	VBZ	ENTY
What country are Godiva chocolates from ?	What	What country	WDT	NN	VBP	LOC
"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?"	which	which begins	WDT	VBZ	VB	HUM
Which condiment was once sold as a patent medicine ?	Which	Which condiment	WDT	NN	VBN	ENTY
What U.S. state records the least rainfall ?	What	What U.S.	WP	NNP	VBZ	LOC
Why did the world enter a global depression in 1929 ?	Why	Why did	WRB	VBD	VB	DESC
"What was archy , and mehitabel ?"	What	What was	WP	VBD	VBD	DESC
What Texas city got its name from the Spanish for `` yellow '' ?	What	What Texas	WP	NNP	VBD	LOC
What are the chemicals used in glowsticks ?	What	What are	WP	VBP	VBP	ENTY
What country did the Nile River originate in ?	What	What country	WP	NN	RB	LOC
What color are tennis balls ?	What	What color	WDT	NN	VBP	ENTY
What barroom judge called himself The Law West of the Pecos ?	What	What barroom	WDT	NN	VBD	HUM
What excuse did the NATO people give for hitting the Chinese embassy ?	What	What excuse	WP	NN	VBP	DESC
Who was President of Costa Rica in 1994 ?	Who	Who was	WP	VBD	VBD	HUM
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?	What	What sports	WDT	NNS	VBZ	ENTY
What country has the best defensive position in the board game Diplomacy ?	What	What country	WDT	NN	VBZ	LOC
What two countries share the Khyber Pass ?	What	What two	WP	CD	VBP	LOC
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?	that	Who was that tried	WDT	VBD	VBD	HUM
What is the origin of the surname of Braun ?	What	What is	WP	VBZ	VBZ	DESC
"What card game has variations called Canfield , Klondike and Spider ?"	What	What card	WDT	NN	VBZ	ENTY
What is Australia Day ?	What	What is	WP	VBZ	VBZ	DESC
What mammal of North America is the world 's longest-lived for its size ?	What	What mammal	WDT	NN	VBZ	ENTY
What was the Chivington Massacre ?	What	What was	WP	VBD	VBD	DESC
"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?"	What	What actor	WDT	NN	VBN	HUM
How many home runs did Lou Gehrig have during his career ?	How	How many	WRB	JJ	VBP	NUM
In what city is the headquarters of Sinn Fein ?	what	what city	WDT	NN	VBZ	LOC
Where can I find information on George Bush ?	Where	Where can	WRB	MD	VB	LOC
Who is the voice of Miss Piggy ?	Who	Who is	WP	VBZ	VBZ	HUM
What is the dialogue circle in cartoons called ?	What	What is	WP	VBZ	VBZ	ENTY
"What does the word camaro mean , from the GM car the Camaro ?"	What	What does	WP	VBZ	VBZ	DESC
Who replaced Bert Parks as the host of The Miss America Pageant ?	Who	Who replaced	WP	VBD	VBD	HUM
How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?	How	How many	WRB	JJ	VBP	NUM
What is the AIM-54C Phoenix ?	What	What is	WP	VBZ	VBZ	DESC
When are sheep shorn ?	When	When are	WRB	VBP	VBP	NUM
What sport is Chris Jogis a top player of ?	What	What sport	WDT	NN	VBZ	ENTY
What 's the second-largest island in the world ?	What	What 's	WP	VBZ	VBZ	LOC
What is the definition of low island ?	What	What is	WP	VBZ	VBZ	DESC
What century does Captain Video live in ?	What	What century	WDT	NN	VB	NUM
What types of water pollution are there ?	What	What types	WDT	NNS	VBP	ENTY
How many astronauts manned each Project Mercury flight ?	How	How many	WRB	JJ	VBD	NUM
What soft drink would provide me with the biggest intake of caffeine ?	What	What soft	WDT	JJ	VB	ENTY
What 's the name of a golf course in Myrtle Beach ?	What	What 's	WP	VBZ	VBZ	ENTY
What are some of the significant historical events of the 1990s ?	What	What are	WP	VBP	VBP	ENTY
Name the only extant trilogy of classical Greek plays .					VB	ENTY
Where is Logan Airport ?	Where	Where is	WRB	VBZ	VBZ	LOC
What is the difference between Neoclassical art and Romanticism art ?	What	What is	WP	VBZ	VBZ	DESC
Who was the first person inducted into the U.S. Swimming Hall of Fame ?	Who	Who was	WP	VBD	VBD	HUM
What golfer has been called Ohio Fats and Blobbo ?	What	What golfer	WDT	NN	VBN	HUM
Who murdered Leno and Rosemary LaBianca on August 1	Who	Who murdered	WP	VBD	VBD	HUM
What is the average cost for four years of medical school ?	What	What is	WP	VBZ	VBZ	NUM
What does God create in the first sentence of the Bible ?	What	What does	WP	VBZ	VB	ENTY
Which of the following men was not married to Rita Hayworth ?	Which	Which of	WDT	IN	VBD	HUM
What is the current ticket fare from from Cairo to Barbados ?	What	What is	WP	VBZ	VBZ	NUM
What does NN O `` mean when used as a prefix in Irish surnames ?	when	What does when used	WRB	VBN	WP	ABBR
How do you find oxidation numbers ?	How	How do	WRB	VBP	VB	DESC
What is the state nickname of Mississippi ?	What	What is	WP	VBZ	VBZ	LOC
"What is Black Hills , South Dakota most famous for ?"	What	What is	WP	VBZ	VBZ	DESC
What 1966 boob tube bomb took astronauts back to prehistoric times ?	What	What 1966	WP	CD	VBD	ENTY
How many students attend the University of Massachusetts ?	How	How many	WRB	JJ	VBP	NUM
"Who said , `` I shall return . '' during World War Two ?"	Who	Who said	WP	VBD	VBD	HUM
What holidays are celebrated in Ireland ?	What	What holidays	WDT	NNS	VBN	ENTY
"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?"	Who	Who portrayed	WP	VBD	VBD	HUM
What are the Greek numerals ?	What	What are	WP	VBP	VBP	DESC
What 's the name of the temple that is located near the capital city of Laos ?	that	What 's that is	WDT	VBZ	VBZ	LOC
What is a fear of sleep ?	What	What is	WP	VBZ	VBZ	ENTY
What auto race was Wilbur Reed the first to win three times ?	What	What auto	WDT	NN	VBD	ENTY
What are the most common breeding birds in the U.S. ?	What	What are	WP	VBP	VBP	ENTY
"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?"	What	What was	WP	VBD	VBN	ENTY
How do you look up criminal records on the Internet ?	How	How do	WRB	VBP	VB	DESC
"Where is the actress , Marion Davies , buried ?"	Where	Where is	WRB	VBZ	VBZ	LOC
What is an example of an actual case of using the Fourteenth Amendment ?	What	What is	WP	VBZ	VBZ	DESC
Who was the Charlie perfume woman ?	Who	Who was	WP	VBD	VBD	HUM
Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?	Who	Who portrayed	WP	VBD	VBD	HUM
